,Date,Time,Signal(dBm),Noise(dBm),Channel,Mode,SSID,BSSID,Frequency (GHz)
1672,5/10/2023 12:35:29,1696509329,-87,-95,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-60,
2136,5/10/2023 12:35:29,1696509329,-88,-95,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-25,
2742,5/10/2023 12:35:29,1696509329,-75,-94,100, ac,eduroam ,08-CC-68-B4-8C-FE,
3835,5/10/2023 12:35:29,1696509329,-88,-94,6, ac,gj 的 S23 ,1A-62-02-07-FE-2F,
3880,5/10/2023 12:35:29,1696509329,-70,-94,6, g/n,UNSW Guest ,B8-11-4B-82-62-A3,
4063,5/10/2023 12:35:29,1696509329,-50,-94,11, g/n,uniwide ,08-CC-68-B5-9A-45,
4229,5/10/2023 12:35:29,1696509329,-78,-94,6, g/n,uniwide ,74-88-BB-2B-01-21,
4459,5/10/2023 12:35:29,1696509329,-60,-94,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AB,
4706,5/10/2023 12:35:29,1696509329,-81,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AD,
4827,5/10/2023 12:35:29,1696509329,-80,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5B,
5264,5/10/2023 12:35:29,1696509329,-90,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9F,
5466,5/10/2023 12:35:29,1696509329,-54,-94,132, ac,eduroam ,08-CC-68-B5-9A-4E,
5669,5/10/2023 12:35:29,1696509329,-80,-94,132, ac,UNSW Guest ,B8-11-4B-82-62-AC,
6111,5/10/2023 12:35:29,1696509329,-64,-94,11, g/n,eduroam ,08-CC-68-B4-84-91,
6325,5/10/2023 12:35:29,1696509329,-60,-94,52, ac,eduroam ,08-CC-68-B4-77-AE,
6530,5/10/2023 12:35:29,1696509329,-73,-95,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A0,
6685,5/10/2023 12:35:29,1696509329,-80,-95,1, g/n,uniwide ,08-CC-68-B4-86-55,
7043,5/10/2023 12:35:29,1696509329,-76,-94,1, g/n,uniwide ,08-CC-68-B4-8C-F5,
7453,5/10/2023 12:35:29,1696509329,-76,-94,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F4,
7586,5/10/2023 12:35:29,1696509329,-91,-94,6, g/n,uniwide ,08-CC-68-B5-8D-F5,
7972,5/10/2023 12:35:29,1696509329,-62,-95,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-90,
8338,5/10/2023 12:35:29,1696509329,-75,-94,1, g/n,eduroam ,08-CC-68-B5-88-A1,
8760,5/10/2023 12:35:29,1696509329,-87,-94,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-22,
9475,5/10/2023 12:35:29,1696509329,-70,-94,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A5,
9686,5/10/2023 12:35:29,1696509329,-88,-95,1, g/n,uniwide ,24-16-9D-23-FD-21,
9834,5/10/2023 12:35:29,1696509329,-90,-94,5, ax,MEREAVIE_CONTROL ,7C-10-C9-02-F3-12,
10221,5/10/2023 12:35:29,1696509329,-88,-94,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-64,
10415,5/10/2023 12:35:29,1696509329,-91,-94,112, ac,eduroam ,08-CC-68-B5-88-AE,
10577,5/10/2023 12:35:29,1696509329,-48,-95,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-40,
11573,5/10/2023 12:35:29,1696509329,-81,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AA,
11776,5/10/2023 12:35:29,1696509329,-78,-94,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-25,
12038,5/10/2023 12:35:29,1696509329,-92,-94,10, b/g/n,SECedu ,68-FF-7B-19-97-D8,
12380,5/10/2023 12:35:29,1696509329,-50,-94,11, g/n,eduroam ,08-CC-68-B5-9A-41,
12915,5/10/2023 12:35:29,1696509329,-88,-95,6, g/n,uniwide ,08-CC-68-B4-7D-65,
13275,5/10/2023 12:35:29,1696509329,-80,-94,112, ac,uniwide ,08-CC-68-B4-86-5A,
13683,5/10/2023 12:35:29,1696509329,-76,-94,100, ac,uniwide ,08-CC-68-B4-8C-FA,
13734,5/10/2023 12:35:29,1696509329,-88,-94,1, g/n,eduroam ,24-16-9D-23-FD-20,
13936,5/10/2023 12:35:29,1696509329,-88,-94,1, g/n,Global_Students ,24-16-9D-23-FD-24,
14009,5/10/2023 12:35:29,1696509329,-55,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4F,
14350,5/10/2023 12:35:29,1696509329,-77,-94,1, g/n,eduroam ,08-CC-68-B4-8C-F1,
14590,5/10/2023 12:35:29,1696509329,-79,-94,1, g/n,eduroam ,08-CC-68-B4-86-51,
14658,5/10/2023 12:35:29,1696509329,-75,-94,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A4,
14771,5/10/2023 12:35:29,1696509329,-60,-94,52, ac,uniwide ,08-CC-68-B4-77-AA,
15067,5/10/2023 12:35:29,1696509329,-77,-94,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-22,
15185,5/10/2023 12:35:29,1696509329,-63,-94,11, g/n,uniwide ,08-CC-68-B4-84-95,
15341,5/10/2023 12:35:29,1696509329,-75,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FF,
15670,5/10/2023 12:35:29,1696509329,-54,-94,132, ac,uniwide ,08-CC-68-B5-9A-4A,
15896,5/10/2023 12:35:29,1696509329,-70,-94,6, g/n,eduroam ,B8-11-4B-82-62-A0,
16175,5/10/2023 12:35:29,1696509329,-70,-94,6, g/n,Global_Students ,B8-11-4B-82-62-A4,
16396,5/10/2023 12:35:29,1696509329,-80,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5F,
16685,5/10/2023 12:35:29,1696509329,-90,-95,6, g/n,eduroam ,08-CC-68-B4-7E-E1,
16863,5/10/2023 12:35:29,1696509329,-70,-94,6, g/n,uniwide ,B8-11-4B-82-62-A1,
17084,5/10/2023 12:35:29,1696509329,-82,-95,157, ac,uniwide ,08-CC-68-B4-84-1A,
17433,5/10/2023 12:35:29,1696509329,-78,-94,6, g/n,UNSW Guest ,74-88-BB-2B-01-23,
17629,5/10/2023 12:35:29,1696509329,-75,-94,1, g/n,uniwide ,08-CC-68-B5-88-A5,
17920,5/10/2023 12:35:29,1696509329,-81,-94,132, ac,Global_Students ,B8-11-4B-82-62-AB,
18141,5/10/2023 12:35:29,1696509329,-80,-94,132, ac,eduroam ,B8-11-4B-82-62-AF,
18399,5/10/2023 12:35:29,1696509329,-85,-95,6, g/n,UNSW Guest ,4C-E1-76-F3-53-63,
18673,5/10/2023 12:35:29,1696509329,-77,-94,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F0,
106,5/10/2023 12:35:43,1696509343,-90,-95,11, b/g/n,keg ,14-58-D0-37-26-F0,
224,5/10/2023 12:35:43,1696509343,-85,-88,11, b/g/n,ASUS_66U ,A8-5E-45-9A-D9-90,
424,5/10/2023 12:35:43,1696509343,-78,-94,6, g/n,Global_Students ,74-88-BB-2B-01-24,
502,5/10/2023 12:35:43,1696509343,-81,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
623,5/10/2023 12:35:43,1696509343,-78,-94,6, g/n,eduroam ,74-88-BB-2B-01-20,
1096,5/10/2023 12:35:43,1696509343,-48,-95,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
1186,5/10/2023 12:35:43,1696509343,-70,-94,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A2,
1585,5/10/2023 12:35:43,1696509343,-87,-88,6, g/n,Global_Students ,4C-E1-76-F3-53-64,
1671,5/10/2023 12:35:43,1696509343,-88,-88,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-60,
2135,5/10/2023 12:35:43,1696509343,-88,-95,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-25,
2741,5/10/2023 12:35:43,1696509343,-75,-94,100, ac,eduroam ,08-CC-68-B4-8C-FE,
3299,5/10/2023 12:35:43,1696509343,-85,-93,6, g/n,eduroam ,08-CC-68-B4-7D-61,
3536,5/10/2023 12:35:43,1696509343,-86,-93,6, g/n,uniwide ,4C-E1-76-F3-53-61,
3834,5/10/2023 12:35:43,1696509343,-88,-94,6, ac,gj 的 S23 ,1A-62-02-07-FE-2F,
3879,5/10/2023 12:35:43,1696509343,-70,-94,6, g/n,UNSW Guest ,B8-11-4B-82-62-A3,
4062,5/10/2023 12:35:43,1696509343,-50,-88,11, g/n,uniwide ,08-CC-68-B5-9A-45,
4228,5/10/2023 12:35:43,1696509343,-78,-94,6, g/n,uniwide ,74-88-BB-2B-01-21,
4458,5/10/2023 12:35:43,1696509343,-60,-95,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AB,
4705,5/10/2023 12:35:43,1696509343,-81,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AD,
4826,5/10/2023 12:35:43,1696509343,-80,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5B,
5263,5/10/2023 12:35:43,1696509343,-90,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9F,
5465,5/10/2023 12:35:43,1696509343,-57,-94,132, ac,eduroam ,08-CC-68-B5-9A-4E,
5668,5/10/2023 12:35:43,1696509343,-81,-94,132, ac,UNSW Guest ,B8-11-4B-82-62-AC,
6110,5/10/2023 12:35:43,1696509343,-67,-88,11, g/n,eduroam ,08-CC-68-B4-84-91,
6324,5/10/2023 12:35:43,1696509343,-58,-94,52, ac,eduroam ,08-CC-68-B4-77-AE,
6529,5/10/2023 12:35:43,1696509343,-73,-95,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A0,
6611,5/10/2023 12:35:43,1696509343,-81,-88,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C2,
6684,5/10/2023 12:35:43,1696509343,-81,-88,1, g/n,uniwide ,08-CC-68-B4-86-55,
7042,5/10/2023 12:35:43,1696509343,-80,-88,1, g/n,uniwide ,08-CC-68-B4-8C-F5,
7452,5/10/2023 12:35:43,1696509343,-76,-94,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F4,
7585,5/10/2023 12:35:43,1696509343,-91,-94,6, g/n,uniwide ,08-CC-68-B5-8D-F5,
7971,5/10/2023 12:35:43,1696509343,-67,-88,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-90,
8337,5/10/2023 12:35:43,1696509343,-71,-88,1, g/n,eduroam ,08-CC-68-B5-88-A1,
8430,5/10/2023 12:35:43,1696509343,-81,-88,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-54,
8759,5/10/2023 12:35:43,1696509343,-87,-94,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-22,
8863,5/10/2023 12:35:43,1696509343,-80,-88,11, g/n,UNSW Guest ,24-16-9D-23-F0-C3,
9474,5/10/2023 12:35:43,1696509343,-70,-94,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A5,
9653,5/10/2023 12:35:43,1696509343,-84,-95,157, ac,[Hidden SSID] ,08-CC-68-B4-84-1F,
9833,5/10/2023 12:35:43,1696509343,-90,-94,5, ax,MEREAVIE_CONTROL ,7C-10-C9-02-F3-12,
10220,5/10/2023 12:35:43,1696509343,-88,-94,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-64,
10414,5/10/2023 12:35:43,1696509343,-91,-94,112, ac,eduroam ,08-CC-68-B5-88-AE,
10576,5/10/2023 12:35:43,1696509343,-48,-95,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-40,
11357,5/10/2023 12:35:43,1696509343,-82,-88,11, g/n,Global_Students ,24-16-9D-23-F0-C4,
11572,5/10/2023 12:35:43,1696509343,-81,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AA,
11775,5/10/2023 12:35:43,1696509343,-78,-94,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-25,
12037,5/10/2023 12:35:43,1696509343,-91,-91,10, b/g/n,SECedu ,68-FF-7B-19-97-D8,
12379,5/10/2023 12:35:43,1696509343,-50,-88,11, g/n,eduroam ,08-CC-68-B5-9A-41,
12914,5/10/2023 12:35:43,1696509343,-88,-88,6, g/n,uniwide ,08-CC-68-B4-7D-65,
13274,5/10/2023 12:35:43,1696509343,-80,-94,112, ac,uniwide ,08-CC-68-B4-86-5A,
13354,5/10/2023 12:35:43,1696509343,-86,-93,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-65,
13682,5/10/2023 12:35:43,1696509343,-74,-94,100, ac,uniwide ,08-CC-68-B4-8C-FA,
13733,5/10/2023 12:35:43,1696509343,-88,-94,1, g/n,eduroam ,24-16-9D-23-FD-20,
13935,5/10/2023 12:35:43,1696509343,-88,-94,1, g/n,Global_Students ,24-16-9D-23-FD-24,
14008,5/10/2023 12:35:43,1696509343,-57,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4F,
14349,5/10/2023 12:35:43,1696509343,-80,-88,1, g/n,eduroam ,08-CC-68-B4-8C-F1,
14589,5/10/2023 12:35:43,1696509343,-79,-94,1, g/n,eduroam ,08-CC-68-B4-86-51,
14657,5/10/2023 12:35:43,1696509343,-75,-94,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A4,
14770,5/10/2023 12:35:43,1696509343,-58,-94,52, ac,uniwide ,08-CC-68-B4-77-AA,
15066,5/10/2023 12:35:43,1696509343,-77,-94,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-22,
15184,5/10/2023 12:35:43,1696509343,-67,-88,11, g/n,uniwide ,08-CC-68-B4-84-95,
15669,5/10/2023 12:35:43,1696509343,-57,-94,132, ac,uniwide ,08-CC-68-B5-9A-4A,
15895,5/10/2023 12:35:43,1696509343,-70,-94,6, g/n,eduroam ,B8-11-4B-82-62-A0,
15970,5/10/2023 12:35:43,1696509343,-86,-93,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-62,
16174,5/10/2023 12:35:43,1696509343,-70,-94,6, g/n,Global_Students ,B8-11-4B-82-62-A4,
16232,5/10/2023 12:35:43,1696509343,-86,-93,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E0,
16395,5/10/2023 12:35:43,1696509343,-81,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5F,
16684,5/10/2023 12:35:43,1696509343,-88,-88,6, g/n,eduroam ,08-CC-68-B4-7E-E1,
16862,5/10/2023 12:35:43,1696509343,-70,-94,6, g/n,uniwide ,B8-11-4B-82-62-A1,
17083,5/10/2023 12:35:43,1696509343,-82,-95,157, ac,uniwide ,08-CC-68-B4-84-1A,
17432,5/10/2023 12:35:43,1696509343,-78,-94,6, g/n,UNSW Guest ,74-88-BB-2B-01-23,
17628,5/10/2023 12:35:43,1696509343,-71,-88,1, g/n,uniwide ,08-CC-68-B5-88-A5,
17703,5/10/2023 12:35:43,1696509343,-82,-88,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-50,
17919,5/10/2023 12:35:43,1696509343,-82,-94,132, ac,Global_Students ,B8-11-4B-82-62-AB,
18042,5/10/2023 12:35:43,1696509343,-67,-88,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-94,
18140,5/10/2023 12:35:43,1696509343,-81,-94,132, ac,eduroam ,B8-11-4B-82-62-AF,
18398,5/10/2023 12:35:43,1696509343,-87,-87,6, g/n,UNSW Guest ,4C-E1-76-F3-53-63,
18672,5/10/2023 12:35:43,1696509343,-77,-94,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F0,
223,5/10/2023 12:35:57,1696509357,-85,-88,11, b/g/n,ASUS_66U ,A8-5E-45-9A-D9-90,
423,5/10/2023 12:35:57,1696509357,-77,-92,6, g/n,Global_Students ,74-88-BB-2B-01-24,
501,5/10/2023 12:35:57,1696509357,-80,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
622,5/10/2023 12:35:57,1696509357,-78,-94,6, g/n,eduroam ,74-88-BB-2B-01-20,
1095,5/10/2023 12:35:57,1696509357,-49,-92,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
1185,5/10/2023 12:35:57,1696509357,-68,-92,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A2,
1314,5/10/2023 12:35:57,1696509357,-82,-90,6, g/n,eduroam ,4C-E1-76-F3-53-60,
1584,5/10/2023 12:35:57,1696509357,-82,-90,6, g/n,Global_Students ,4C-E1-76-F3-53-64,
1670,5/10/2023 12:35:57,1696509357,-88,-88,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-60,
2740,5/10/2023 12:35:57,1696509357,-77,-94,100, ac,eduroam ,08-CC-68-B4-8C-FE,
3298,5/10/2023 12:35:57,1696509357,-88,-90,6, g/n,eduroam ,08-CC-68-B4-7D-61,
3535,5/10/2023 12:35:57,1696509357,-82,-90,6, g/n,uniwide ,4C-E1-76-F3-53-61,
3833,5/10/2023 12:35:57,1696509357,-88,-94,6, ac,gj 的 S23 ,1A-62-02-07-FE-2F,
3878,5/10/2023 12:35:57,1696509357,-68,-92,6, g/n,UNSW Guest ,B8-11-4B-82-62-A3,
4061,5/10/2023 12:35:57,1696509357,-49,-92,11, g/n,uniwide ,08-CC-68-B5-9A-45,
4227,5/10/2023 12:35:57,1696509357,-78,-92,6, g/n,uniwide ,74-88-BB-2B-01-21,
4457,5/10/2023 12:35:57,1696509357,-61,-95,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AB,
4704,5/10/2023 12:35:57,1696509357,-81,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AD,
4825,5/10/2023 12:35:57,1696509357,-80,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5B,
5262,5/10/2023 12:35:57,1696509357,-91,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9F,
5464,5/10/2023 12:35:57,1696509357,-55,-94,132, ac,eduroam ,08-CC-68-B5-9A-4E,
5667,5/10/2023 12:35:57,1696509357,-80,-94,132, ac,UNSW Guest ,B8-11-4B-82-62-AC,
6109,5/10/2023 12:35:57,1696509357,-64,-92,11, g/n,eduroam ,08-CC-68-B4-84-91,
6323,5/10/2023 12:35:57,1696509357,-58,-95,52, ac,eduroam ,08-CC-68-B4-77-AE,
6610,5/10/2023 12:35:57,1696509357,-81,-90,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C2,
6683,5/10/2023 12:35:57,1696509357,-80,-92,1, g/n,uniwide ,08-CC-68-B4-86-55,
7041,5/10/2023 12:35:57,1696509357,-77,-92,1, g/n,uniwide ,08-CC-68-B4-8C-F5,
7451,5/10/2023 12:35:57,1696509357,-76,-94,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F4,
7584,5/10/2023 12:35:57,1696509357,-91,-94,6, g/n,uniwide ,08-CC-68-B5-8D-F5,
7970,5/10/2023 12:35:57,1696509357,-67,-88,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-90,
8336,5/10/2023 12:35:57,1696509357,-71,-92,1, g/n,eduroam ,08-CC-68-B5-88-A1,
8429,5/10/2023 12:35:57,1696509357,-79,-91,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-54,
8758,5/10/2023 12:35:57,1696509357,-87,-94,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-22,
8862,5/10/2023 12:35:57,1696509357,-80,-88,11, g/n,UNSW Guest ,24-16-9D-23-F0-C3,
8948,5/10/2023 12:35:57,1696509357,-83,-95,157, ac,eduroam ,08-CC-68-B4-84-1E,
9204,5/10/2023 12:35:57,1696509357,-89,-90,6, g/n,uniwide ,08-CC-68-B4-7E-E5,
9473,5/10/2023 12:35:57,1696509357,-68,-92,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A5,
9652,5/10/2023 12:35:57,1696509357,-84,-95,157, ac,[Hidden SSID] ,08-CC-68-B4-84-1F,
9832,5/10/2023 12:35:57,1696509357,-90,-94,5, ax,MEREAVIE_CONTROL ,7C-10-C9-02-F3-12,
10219,5/10/2023 12:35:57,1696509357,-88,-94,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-64,
10413,5/10/2023 12:35:57,1696509357,-91,-94,112, ac,eduroam ,08-CC-68-B5-88-AE,
10575,5/10/2023 12:35:57,1696509357,-49,-92,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-40,
11356,5/10/2023 12:35:57,1696509357,-82,-88,11, g/n,Global_Students ,24-16-9D-23-F0-C4,
11474,5/10/2023 12:35:57,1696509357,-81,-90,11, g/n,eduroam ,24-16-9D-23-F0-C0,
11571,5/10/2023 12:35:57,1696509357,-81,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AA,
11695,5/10/2023 12:35:57,1696509357,-81,-90,11, g/n,uniwide ,24-16-9D-23-F0-C1,
11774,5/10/2023 12:35:57,1696509357,-78,-92,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-25,
11915,5/10/2023 12:35:57,1696509357,-60,-95,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AF,
12036,5/10/2023 12:35:57,1696509357,-91,-91,10, b/g/n,SECedu ,68-FF-7B-19-97-D8,
12378,5/10/2023 12:35:57,1696509357,-50,-92,11, g/n,eduroam ,08-CC-68-B5-9A-41,
12913,5/10/2023 12:35:57,1696509357,-88,-88,6, g/n,uniwide ,08-CC-68-B4-7D-65,
13273,5/10/2023 12:35:57,1696509357,-81,-94,112, ac,uniwide ,08-CC-68-B4-86-5A,
13353,5/10/2023 12:35:57,1696509357,-83,-90,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-65,
13681,5/10/2023 12:35:57,1696509357,-77,-94,100, ac,uniwide ,08-CC-68-B4-8C-FA,
13732,5/10/2023 12:35:57,1696509357,-88,-94,1, g/n,eduroam ,24-16-9D-23-FD-20,
13934,5/10/2023 12:35:57,1696509357,-88,-94,1, g/n,Global_Students ,24-16-9D-23-FD-24,
14007,5/10/2023 12:35:57,1696509357,-56,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4F,
14348,5/10/2023 12:35:57,1696509357,-76,-91,1, g/n,eduroam ,08-CC-68-B4-8C-F1,
14588,5/10/2023 12:35:57,1696509357,-79,-94,1, g/n,eduroam ,08-CC-68-B4-86-51,
14656,5/10/2023 12:35:57,1696509357,-75,-94,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A4,
14769,5/10/2023 12:35:57,1696509357,-58,-95,52, ac,uniwide ,08-CC-68-B4-77-AA,
15065,5/10/2023 12:35:57,1696509357,-78,-92,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-22,
15183,5/10/2023 12:35:57,1696509357,-64,-92,11, g/n,uniwide ,08-CC-68-B4-84-95,
15340,5/10/2023 12:35:57,1696509357,-76,-93,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FF,
15668,5/10/2023 12:35:57,1696509357,-55,-94,132, ac,uniwide ,08-CC-68-B5-9A-4A,
15894,5/10/2023 12:35:57,1696509357,-70,-94,6, g/n,eduroam ,B8-11-4B-82-62-A0,
15969,5/10/2023 12:35:57,1696509357,-83,-90,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-62,
16173,5/10/2023 12:35:57,1696509357,-68,-92,6, g/n,Global_Students ,B8-11-4B-82-62-A4,
16231,5/10/2023 12:35:57,1696509357,-90,-90,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E0,
16394,5/10/2023 12:35:57,1696509357,-80,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5F,
16683,5/10/2023 12:35:57,1696509357,-88,-92,6, g/n,eduroam ,08-CC-68-B4-7E-E1,
16861,5/10/2023 12:35:57,1696509357,-68,-92,6, g/n,uniwide ,B8-11-4B-82-62-A1,
17082,5/10/2023 12:35:57,1696509357,-82,-95,157, ac,uniwide ,08-CC-68-B4-84-1A,
17431,5/10/2023 12:35:57,1696509357,-78,-92,6, g/n,UNSW Guest ,74-88-BB-2B-01-23,
17627,5/10/2023 12:35:57,1696509357,-71,-92,1, g/n,uniwide ,08-CC-68-B5-88-A5,
17702,5/10/2023 12:35:57,1696509357,-82,-88,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-50,
17918,5/10/2023 12:35:57,1696509357,-80,-94,132, ac,Global_Students ,B8-11-4B-82-62-AB,
18041,5/10/2023 12:35:57,1696509357,-62,-90,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-94,
18139,5/10/2023 12:35:57,1696509357,-80,-94,132, ac,eduroam ,B8-11-4B-82-62-AF,
18397,5/10/2023 12:35:57,1696509357,-83,-90,6, g/n,UNSW Guest ,4C-E1-76-F3-53-63,
18671,5/10/2023 12:35:57,1696509357,-77,-92,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F0,
222,5/10/2023 12:36:09,1696509369,-86,-93,11, b/g/n,ASUS_66U ,A8-5E-45-9A-D9-90,
422,5/10/2023 12:36:09,1696509369,-78,-95,6, g/n,Global_Students ,74-88-BB-2B-01-24,
500,5/10/2023 12:36:09,1696509369,-80,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
621,5/10/2023 12:36:09,1696509369,-78,-95,6, g/n,eduroam ,74-88-BB-2B-01-20,
1094,5/10/2023 12:36:09,1696509369,-50,-93,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
1184,5/10/2023 12:36:09,1696509369,-68,-92,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A2,
1224,5/10/2023 12:36:09,1696509369,-92,-94,112, ac,uniwide ,08-CC-68-B5-88-AA,
1313,5/10/2023 12:36:09,1696509369,-86,-93,6, g/n,eduroam ,4C-E1-76-F3-53-60,
1583,5/10/2023 12:36:09,1696509369,-87,-93,6, g/n,Global_Students ,4C-E1-76-F3-53-64,
1669,5/10/2023 12:36:09,1696509369,-88,-88,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-60,
2461,5/10/2023 12:36:09,1696509369,-55,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4B,
2739,5/10/2023 12:36:09,1696509369,-77,-94,100, ac,eduroam ,08-CC-68-B4-8C-FE,
3297,5/10/2023 12:36:09,1696509369,-85,-93,6, g/n,eduroam ,08-CC-68-B4-7D-61,
3534,5/10/2023 12:36:09,1696509369,-86,-93,6, g/n,uniwide ,4C-E1-76-F3-53-61,
3832,5/10/2023 12:36:09,1696509369,-93,-95,6, ac,gj 的 S23 ,1A-62-02-07-FE-2F,
3877,5/10/2023 12:36:09,1696509369,-68,-95,6, g/n,UNSW Guest ,B8-11-4B-82-62-A3,
4060,5/10/2023 12:36:09,1696509369,-50,-94,11, g/n,uniwide ,08-CC-68-B5-9A-45,
4226,5/10/2023 12:36:09,1696509369,-78,-95,6, g/n,uniwide ,74-88-BB-2B-01-21,
4456,5/10/2023 12:36:09,1696509369,-60,-94,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AB,
4703,5/10/2023 12:36:09,1696509369,-81,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AD,
4824,5/10/2023 12:36:09,1696509369,-81,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5B,
5099,5/10/2023 12:36:09,1696509369,-88,-93,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E4,
5261,5/10/2023 12:36:09,1696509369,-91,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9F,
5463,5/10/2023 12:36:09,1696509369,-55,-94,132, ac,eduroam ,08-CC-68-B5-9A-4E,
5666,5/10/2023 12:36:09,1696509369,-81,-94,132, ac,UNSW Guest ,B8-11-4B-82-62-AC,
6108,5/10/2023 12:36:09,1696509369,-64,-94,11, g/n,eduroam ,08-CC-68-B4-84-91,
6322,5/10/2023 12:36:09,1696509369,-61,-95,52, ac,eduroam ,08-CC-68-B4-77-AE,
